"property name","property city","property state","zip code","property type","property subtype","year built","total units","occupancy %","monthly rent per unit","uw noi","most recent noi","appraised value","latitude","longitude","gross_rent_median","household_income_median","housing_units_occupancy_status_total_count","housing_units_occupied_count","state_name","cap_rate","cap_rate_rank_state","median_rent","rent_perc_diff","rent_affordability_ratio","rent_affordability_percentile","State Occupancy Rate"
"Integra Lakes","Casselberry","FL","32707","Multifamily","Garden","2017",203,"0.941","1884.7","2707170.42","2548963.99","55150000","28.67045","-81.33638","1564","71711",10082356,8550911,"Florida","0.04621874868540344515","59","1660.4828724448598131","0.13503127992221180644","0.31538257728939772141","0.7075471698113207","0.84810643464682262757"
"Carmendy Square Townhomes","Lady Lake","FL","32159","Multifamily","Townhome","1999",152,"0.947","1511","1569207.96","1538102.73","33300000","28.91094","-81.92058","1564","71711",10082356,8550911,"Florida","0.04618927117117117117","60","1660.4828724448598131","-0.09002373642358887911","0.25284823806668433016","0.36792452830188677","0.84810643464682262757"
"Sunshine Village","Davie","FL","33325","Multifamily","Manufactured Housing Community","1972",356,"1","973.12","3136955.42","3039480.26","66000000","26.11442","-80.32885","1564","71711",10082356,8550911,"Florida","0.04605273121212121212","61","1660.4828724448598131","-0.41395360581636188620","0.16284028949533544366","0.08490566037735849","0.84810643464682262757"
"Grand Riviera Miramar","Miramar","FL","33025","Multifamily","Garden","2008",371,"0.957","2681.7","6837689.06","6499763.79","141300000","25.98055","-80.30401","1564","71711",10082356,8550911,"Florida","0.04599974373673036093","62","1660.4828724448598131","0.61501214164980920111","0.44875123760650388364","0.9811320754716981","0.84810643464682262757"
"Vista At Lost Lake","Clermont","FL","34711","Multifamily","Garden","2007",468,"0.953","1835","6231577.37","5839386.59","127000000","28.53129","-81.7277","1564","71711",10082356,8550911,"Florida","0.04597942196850393701","63","1660.4828724448598131","0.10510022744057869413","0.30706586158329963325","0.6698113207547169","0.84810643464682262757"
"The Corridor I","Miami","FL","33138","Multifamily","Mid Rise","2014",64,"1","1957","954846.2","813550.8","17700000","25.85358","-80.18262","1564","71711",10082356,8550911,"Florida","0.04596332203389830508","64","1660.4828724448598131","0.17857283111782697788","0.32748113957412391404","0.7547169811320755","0.84810643464682262757"
"Meadowbrook Mobile Home Park","West Palm Beach","FL","33417","Multifamily","Manufactured Housing Community","1971",434,"0.995","841.57","3226085","3097849.82","67600000","26.70036","-80.13608","1564","71711",10082356,8550911,"Florida","0.04582618076923076923","65","1660.4828724448598131","-0.49317754855195214626","0.14082693031752450809","0.02830188679245283","0.84810643464682262757"
"Nova Glen","Daytona Beach","FL","32114","Multifamily","Garden","1984",143,"0.951","962.82","789909.55","734958.49","16100000","29.18663","-81.03083","1564","71711",10082356,8550911,"Florida","0.04564959565217391304","66","1660.4828724448598131","-0.42015662071698202819","0.16111670455020847569","0.07547169811320754","0.84810643464682262757"
"Berkshire Lauderdale By The Sea","Fort Lauderdale","FL","33308","Multifamily","Mid Rise","2015",264,"0.97","2397","4199337.76","4168265.9","91900000","26.20839","-80.10951","1564","71711",10082356,8550911,"Florida","0.04535653862894450490","67","1660.4828724448598131","0.44355599192101750944","0.40111001101644099232","0.9433962264150944","0.84810643464682262757"
"Arium Reserve At Orange Park","Orange Park","FL","32073","Multifamily","Garden","1989",272,"0.96","1404.59","2759147.33","2630959.2","58400000","30.18614","-81.71766","1564","71711",10082356,8550911,"Florida","0.04505067123287671233","68","1660.4828724448598131","-0.15410750492601502562","0.23504176486173669312","0.27358490566037735","0.84810643464682262757"
"Sorrel Apartments","Jacksonville","FL","32225","Multifamily","Garden","2015",290,"0.934","1684","3444040.45","3454667.01","76700000","30.32396","-81.49214","1564","71711",10082356,8550911,"Florida","0.04504129087353324641","69","1660.4828724448598131","0.01416282452857467079","0.28179777161104990866","0.5377358490566038","0.84810643464682262757"
"400 North Apartments","Maitland","FL","32751","Multifamily","Mid Rise","2019",300,"0.953333333","1995.71","4408162.63","4522137.44","100600000","28.62471","-81.36331","1564","71711",10082356,8550911,"Florida","0.04495166441351888668","70","1660.4828724448598131","0.20188532692394403578","0.33395880687760594609","0.8018867924528302","0.84810643464682262757"
"Carrollwood Station","Tampa","FL","33614","Multifamily","Garden","1984",336,"0.967","1492","3733055.73","3515507.04","78300000","28.03375","-82.4965","1564","71711",10082356,8550911,"Florida","0.04489791877394636015","71","1660.4828724448598131","-0.10146619109463574298","0.24966880952712972905","0.3584905660377358","0.84810643464682262757"
"Avenues Of Baldwin Park","Orlando","FL","32807","Multifamily","Garden","1989",480,"0.956","1538.03","6398483.82","5870360","131700000","28.57357","-81.30628","1564","71711",10082356,8550911,"Florida","0.04457372817008352316","72","1660.4828724448598131","-0.07374533906788378805","0.25737139351006121794","0.4056603773584906","0.84810643464682262757"
"Berkshire Winter Park","Winter Park","FL","32789","Multifamily","Garden","2019",310,"0.952","1977","4077568.97","3839898","87100000","28.58578","-81.37449","1564","71711",10082356,8550911,"Florida","0.04408608495981630310","73","1660.4828724448598131","0.19061752024524472931","0.33082790645786559942","0.7735849056603774","0.84810643464682262757"
"Fairways At Feather Sound","Clearwater","FL","33762","Multifamily","Garden","1985",288,"0.969","1785","3942367.52","3618410","82400000","27.89576","-82.66996","1564","71711",10082356,8550911,"Florida","0.04391274271844660194","74","1660.4828724448598131","0.07498850462203431554","0.29869894437394541981","0.6415094339622641","0.84810643464682262757"
"Venetian Apartments","Fort Myers","FL","33916","Multifamily","Garden","2018",436,"0.938","1892.18","6167827.46","5962234.01","136000000","26.60264","-81.83166","1564","71711",10082356,8550911,"Florida","0.04383995595588235294","75","1660.4828724448598131","0.13953599365586604548","0.31663426810391711174","0.7264150943396226","0.84810643464682262757"
"Citi Lakes","Orlando","FL","32821","Multifamily","Garden","2014",346,"0.945","1876.44","4718262.17","4516738.17","103300000","28.38514","-81.4807","1564","71711",10082356,8550911,"Florida","0.04372447405614714424","76","1660.4828724448598131","0.13005682331258827510","0.31400036256641240535","0.6981132075471698","0.84810643464682262757"
"M2 At Millenia Apartments","Orlando","FL","32839","Multifamily","Mid Rise","2019",403,"0.94","1890","4939469.94","4840443.79","112000000","28.48289","-81.4299","1564","71711",10082356,8550911,"Florida","0.04321824812500000000","77","1660.4828724448598131","0.13822312254097751057","0.31626947051358926803","0.7169811320754716","0.84810643464682262757"
"Osprey Links At Hunter's Creek","Orlando","FL","32837","Multifamily","Garden","1995",424,"0.927","1733","5521995.73","4966974.41","115400000","28.36521","-81.41788","1564","71711",10082356,8550911,"Florida","0.04304137270363951473","78","1660.4828724448598131","0.04367231289074816181","0.28999735047621703783","0.6037735849056604","0.84810643464682262757"
"Puritan Place","Tampa","FL","33617","Multifamily","Garden","1974",224,"0.92","1336.54","1686101.94","1381867.85","32200000","28.01969","-82.40356","1564","71711",10082356,8550911,"Florida","0.04291515062111801242","79","1660.4828724448598131","-0.19508955968205392488","0.22365439053980560862","0.22641509433962265","0.84810643464682262757"
"Presidium Town Center","Jacksonville","FL","32256","Multifamily","Garden","2021",370,"0.908","1848.06","5263180.55","4302052.16","101000000","30.22088","-81.55325","1564","71711",10082356,8550911,"Florida","0.04259457584158415842","80","1660.4828724448598131","0.11296540944078248581","0.30925130035838295380","0.6792452830188679","0.84810643464682262757"
"The Linx","Tampa","FL","33613","Multifamily","Garden","1972",236,"0.89","1425.52","2532196.03","2217924.31","52100000","28.07745","-82.4117","1564","71711",10082356,8550911,"Florida","0.04257052418426103647","81","1660.4828724448598131","-0.14150273775417234875","0.23854415640557236686","0.3018867924528302","0.84810643464682262757"
"Cortland Bayside","Clearwater","FL","33764","Multifamily","Garden","2020",360,"0.975","2540","6253668.25","6053504.87","143000000","27.94692","-82.73006","1564","71711",10082356,8550911,"Florida","0.04233220188811188811","82","1660.4828724448598131","0.52967551918205443220","0.42503939423519404275","0.9622641509433962","0.84810643464682262757"
"LIV At Winter Park","Winter Park","FL","32792","Multifamily","Garden","1973",278,"0.953","1549","3120467.87","2772190.47","66000000","28.60735","-81.28462","1564","71711",10082356,8550911,"Florida","0.04200288590909090909","83","1660.4828724448598131","-0.06713882708149515139","0.25920709514579353237","0.42452830188679247","0.84810643464682262757"
"Registry At Windsor Parke","Jacksonville","FL","32224","Multifamily","Garden","1999",260,"0.954","1816","3639561.92","3189809","76200000","30.25733","-81.46553","1564","71711",10082356,8550911,"Florida","0.04186101049868766404","84","1660.4828724448598131","0.09365777276953183026","0.30388643304374503214","0.6509433962264151","0.84810643464682262757"
"M South","Tampa","FL","33611","Multifamily","Garden","2017",288,"0.886","2108.709481","3872672.25","4023004.69","97100000","27.88912","-82.51831","1564","71711",10082356,8550911,"Florida","0.04143156220391349125","85","1660.4828724448598131","0.26993750793417147489","0.35286795292214583537","0.8490566037735849","0.84810643464682262757"
"The Loree","Jacksonville","FL","32256","Multifamily","Garden","2016",300,"0.937","1759","4220619.18","3516459.42","84900000","30.24744","-81.56059","1564","71711",10082356,8550911,"Florida","0.04141883886925795053","86","1660.4828724448598131","0.05933040875639123867","0.29434814742508122882","0.6226415094339622","0.84810643464682262757"
"U Club On Woodward","Tallahassee","FL","32304","Multifamily","Student","2013",944,"0.999","899.45","4436123.07","5157756","124900000","30.44961","-84.29823","1564","71711",10082356,8550911,"Florida","0.04129508406725380304","87","1660.4828724448598131","-0.45832021821720517361","0.15051247367907294557","0.04716981132075472","0.84810643464682262757"
"St. James Crossing","Tampa","FL","33624","Multifamily","Garden","1986",264,"0.886","1454","2562468.8","2246544.07","54500000","28.0602","-82.53784","1564","71711",10082356,8550911,"Florida","0.04122099211009174312","88","1660.4828724448598131","-0.12435110043672947070","0.24330995244802052684","0.33962264150943394","0.84810643464682262757"
"Valencia At Doral","Doral","FL","33178","Multifamily","Garden","1992",274,"0.942","2617","4722349.97","4176350.84","101700000","25.81449","-80.35953","1564","71711",10082356,8550911,"Florida","0.04106539665683382498","89","1660.4828724448598131","0.57604757232261277522","0.43792444673759953145","0.9716981132075472","0.84810643464682262757"
"Westland Park Apartment Homes","Jacksonville","FL","32244","Multifamily","Garden","1988",405,"0.938","1296.63","3435579.58","3399599.01","83100000","30.20419","-81.75432","1564","71711",10082356,8550911,"Florida","0.04090973537906137184","90","1660.4828724448598131","-0.21912473683581604787","0.21697591722329907546","0.20754716981132076","0.84810643464682262757"
"Cascades At The Hammocks","Miami","FL","33196","Multifamily","Garden","1988",264,"0.97","2448","5027927.66","4106891","100500000","25.66723","-80.44286","1564","71711",10082356,8550911,"Florida","0.04086458706467661692","91","1660.4828724448598131","0.47426994919593277560","0.40964426656998229003","0.9528301886792453","0.84810643464682262757"
"Sanctuary At Winterlakes","Port Saint Lucie","FL","34986","Multifamily","Garden","2001",284,"0.996","1057","2586163.04","2394293.32","58800000","27.36475","-80.3817","1564","71711",10082356,8550911,"Florida","0.04071927414965986395","92","1660.4828724448598131","-0.36343817961597183668","0.17687662980574807212","0.10377358490566038","0.84810643464682262757"
"The Retreat At Lakeland Apartments","Lakeland","FL","33809","Multifamily","Garden","1988",464,"0.92","1648","4733748.33","4281730","105200000","28.10859","-81.94759","1564","71711",10082356,8550911,"Florida","0.04070085551330798479","93","1660.4828724448598131","-0.00751761590077728179","0.27577359122031487498","0.5283018867924528","0.84810643464682262757"
"South Pointe","Tampa","FL","33611","Multifamily","Garden","1986",112,"0.911","1695","1222626.7","1015476.96","25200000","27.89266","-82.50201","1564","71711",10082356,8550911,"Florida","0.04029670476190476190","94","1660.4828724448598131","0.02078740354865443408","0.28363849339710783562","0.5566037735849056","0.84810643464682262757"
"Avion At Carrollwood","Tampa","FL","33618","Multifamily","Garden","1981",264,"0.92","1533","2254794.79","2435023.25","60700000","28.05324","-82.50402","1564","71711",10082356,8550911,"Florida","0.04011570428336079077","95","1660.4828724448598131","-0.07677457838342935254","0.25652968163880018407","0.39622641509433965","0.84810643464682262757"
"Cornerstone Apartments","Orlando","FL","32812","Multifamily","Garden","1986",430,"0.909","1443","4272229.26","3875404","97400000","28.51654","-81.32971","1564","71711",10082356,8550911,"Florida","0.03978854209445585216","96","1660.4828724448598131","-0.13097567945680923399","0.24146923066196259988","0.3113207547169811","0.84810643464682262757"
"Brightwood Manor MHC","Apopka","FL","32712","Multifamily","Manufactured Housing Community","1974",232,"0.849","482","574787.05","580731.73","15000000","28.75745","-81.52582","1564","71711",10082356,8550911,"Florida","0.03871544866666666667","97","1660.4828724448598131","-0.70972299202923219043","0.08065708189817461756","0.009433962264150943","0.84810643464682262757"
"Oak Plaza","Miami","FL","33125","Multifamily","High Rise","2012",156,"1","1988.461538","2145069.08","1975622","51100000","25.78754","-80.22052","1564","71711",10082356,8550911,"Florida","0.03866187866927592955","98","1660.4828724448598131","0.19752005335184899931","0.33274586124862294488","0.7924528301886793","0.84810643464682262757"
"Colony Park","West Palm Beach","FL","33411","Multifamily","Garden","2002",130,"0.985","1317.2","1444414.22","1328328","34500000","26.69177","-80.17725","1564","71711",10082356,8550911,"Florida","0.03850226086956521739","99","1660.4828724448598131","-0.20673677406826689052","0.22041806696322739886","0.2169811320754717","0.84810643464682262757"
"Aria Boca Raton","Boca Raton","FL","33432","Multifamily","Mid Rise","1968",73,"0.959","2394.9","1060989.85","862749","22650000","26.3377","-80.08647","1564","71711",10082356,8550911,"Florida","0.03809046357615894040","100","1660.4828724448598131","0.44229129956263864554","0.40075860049364811535","0.9339622641509434","0.84810643464682262757"
"Desoto Village MHC","Arcadia","FL","34266","Multifamily","MHC Age Restricted","1988",134,"0.798507463","461.3432836","323221.74","257410.48","7000000",NULL,NULL,"1564","71711",10082356,8550911,"Florida","0.03677292571428571429","101","1660.4828724448598131","-0.72216317840079378821","0.07720042117945642928","0","0.84810643464682262757"
"Commander Place","Orlando","FL","32822","Multifamily","Garden","1996",216,"0.991","1074.09","1956537.03","1542133.85","42100000","28.48554","-81.30686","1564","71711",10082356,8550911,"Florida","0.03663025771971496437","102","1660.4828724448598131","-0.35314599275659336808","0.17973644210790534228","0.11320754716981132","0.84810643464682262757"
"Grande Court At North Port","North Port","FL","34287","Multifamily","Garden","2005",128,"0.961","1080.55","1102657.22","931845.29","25700000","27.0425","-82.22346","1564","71711",10082356,8550911,"Florida","0.03625857159533073930","103","1660.4828724448598131","-0.34925555816843743437","0.18081744781135390665","0.12264150943396226","0.84810643464682262757"
"Chelsea Commons","Greenacres","FL","33463","Multifamily","Garden","1970",210,"0.986","1469.89","2072366.04","2183023.4","60900000","26.61373","-80.14223","1564","71711",10082356,8550911,"Florida","0.03584603284072249589","104","1660.4828724448598131","-0.11478159492499606719","0.24596895873715329587","0.3490566037735849","0.84810643464682262757"
"Avilla Suncoast","Odessa","FL","33556","Multifamily","Garden","2021",152,"0.921","2302.03","2672901.78","2230907.41","65000000","28.1377","-82.57114","1564","71711",10082356,8550911,"Florida","0.03432165246153846154","105","1660.4828724448598131","0.38636178559947431675","0.38521788846899359931","0.8962264150943396","0.84810643464682262757"
"San Marco Villas I And II","Lake Park","FL","33403","Multifamily","Garden","2003",400,"0.943","1215","3430454.3","2933669.42","90800000","26.7991","-80.08667","1564","71711",10082356,8550911,"Florida","0.03230913458149779736","106","1660.4828724448598131","-0.26828513550937160035","0.20331608818730738659","0.1792452830188679","0.84810643464682262757"
"Apex At South Creek","Orlando","FL","32824","Multifamily","Garden","2021",300,"0.947","2006","4296334.61","2316034","101100000","28.36555","-81.36967","1564","71711",10082356,8550911,"Florida","0.02290834817012858556","107","1660.4828724448598131","0.20808231948000046889","0.33568071843929104322","0.8207547169811321","0.84810643464682262757"
"Ascent At Riverdale","Riverdale","GA","30274","Multifamily","Garden","1972",180,"0.956","1163.27","1342354.08","1543488","21900000","33.58059","-84.40965","1306","74664",4483873,4008013,"Georgia","0.07047890410958904110","1","1435.4418921562500000","-0.18960843601088359617","0.18696078431372549020","0.1746031746031746","0.89387299774101541235"
"South Of Maple Apartments","Carrollton","GA","30117","Multifamily","Garden","1974",208,"0.899","871.01","1093882.12","1065029.87","16650000","33.56728","-85.09044","1306","74664",4483873,4008013,"Georgia","0.06396575795795795796","2","1435.4418921562500000","-0.39321124403607049189","0.13998874959819993571","0.06349206349206349","0.89387299774101541235"
"Cielo At 325","Austell","GA","30168","Multifamily","Garden","1975",120,"0.983","1254.31","1194592.35","1131278.1","18000000","33.77686","-84.56483","1306","74664",4483873,4008013,"Georgia","0.06284878333333333333","3","1435.4418921562500000","-0.12618545769495594618","0.20159273545483767277","0.25396825396825395","0.89387299774101541235"
"Riverdale Clayton","Riverdale","GA","30274","Multifamily","Garden","1969",148,"0.912","1090.49","1219705.6","1083639.08","17600000","33.57296","-84.40395","1306","74664",4483873,4008013,"Georgia","0.06157040227272727273","4","1435.4418921562500000","-0.24031059288515001056","0.17526358084217293475","0.15873015873015872","0.89387299774101541235"
"Gables At Wolf Creek","Macon","GA","31210","Multifamily","Garden","2003",82,"0.987804878","2610.041098","1258156.22","1302256.97","21300000","32.88499","-83.73397","1306","74664",4483873,4008013,"Georgia","0.06113882488262910798","5","1435.4418921562500000","0.81828405055068095860","0.41948587238829958213","1","0.89387299774101541235"
"Cielo At 820 And Cielo At Prince","Athens","GA","30606","Multifamily","Garden","1968",174,"0.989","997","1312534.1","1242679.77","20650000","33.96725","-83.41012","1306","74664",4483873,4008013,"Georgia","0.06017819709443099274","6","1435.4418921562500000","-0.30544036268695225131","0.16023786563805850209","0.1111111111111111","0.89387299774101541235"
"Lake Colony Apartments","Peachtree Corners","GA","30071","Multifamily","Garden","1971",172,"0.977","1481","2195246.73","2045992","34000000","33.93134","-84.26035","1306","74664",4483873,4008013,"Georgia","0.06017623529411764706","7","1435.4418921562500000","0.03173803697153833081","0.23802635808421729347","0.5873015873015873","0.89387299774101541235"
"Sweetwater Vista","Douglasville","GA","30135","Multifamily","Garden","2022",300,"0.893","1724.22","3387329.14","3772684","63100000","33.70169","-84.79179","1306","74664",4483873,4008013,"Georgia","0.05978896988906497623","8","1435.4418921562500000","0.20117714929579056093","0.27711668273866923819","0.8888888888888888","0.89387299774101541235"
"445 Cleveland","Atlanta","GA","30354","Multifamily","Garden","1971",200,"0.905","1284.3","1883684.48","1963668.29","34400000","33.68114","-84.37263","1306","74664",4483873,4008013,"Georgia","0.05708338052325581395","9","1435.4418921562500000","-0.10529293660867881279","0.20641272902603664417","0.30158730158730157","0.89387299774101541235"
"Highland Circle","Atlanta","GA","30342","Multifamily","Garden","1966",133,"0.97","1235.34","1082387.9","1209726.44","21500000","33.90944","-84.38017","1306","74664",4483873,4008013,"Georgia","0.05626634604651162791","10","1435.4418921562500000","-0.13940090034272777746","0.19854387656702025072","0.2222222222222222","0.89387299774101541235"
"Fountains At Chatham Parkway","Savannah","GA","31405","Multifamily","Garden","2007",352,"0.974","1583.82","5305040.02","5161619.17","93700000","32.04977","-81.16611","1306","74664",4483873,4008013,"Georgia","0.05508665069370330843","11","1435.4418921562500000","0.10336754741138544166","0.25455159112825458052","0.746031746031746","0.89387299774101541235"
"Garden Walk","Atlanta","GA","30349","Multifamily","Garden","1990",240,"0.804","1177.4","1503086.23","1783171.06","32800000","33.59576","-84.41932","1306","74664",4483873,4008013,"Georgia","0.05436497134146341463","12","1435.4418921562500000","-0.17976477735969667070","0.18923175827708132433","0.19047619047619047","0.89387299774101541235"
"Centerview Park","Smyrna","GA","30082","Multifamily","Garden","1965",128,"0.969","1077","991914.54","901474.43","16600000","33.89543","-84.54312","1306","74664",4483873,4008013,"Georgia","0.05430568855421686747","13","1435.4418921562500000","-0.24970839580125132864","0.17309546769527483124","0.14285714285714285","0.89387299774101541235"
"Ashley Woods","Stockbridge","GA","30281","Multifamily","Garden","1991",128,"0.961","1208","1169082.57","1194170.52","22000000","33.51691","-84.22987","1306","74664",4483873,4008013,"Georgia","0.05428047818181818182","14","1435.4418921562500000","-0.15844730002591606778","0.19414979106396657023","0.20634920634920634","0.89387299774101541235"
"Dalton Beach Club And The Valley Apartments","Dalton","GA","30720","Multifamily","Townhome","1984",187,"0.93","1045.5","1134875.82","1135961.79","21000000",NULL,NULL,"1306","74664",4483873,4008013,"Georgia","0.05409341857142857143","15","1435.4418921562500000","-0.27165285776249606694","0.16803278688524590164","0.12698412698412698","0.89387299774101541235"
"Royal Point Apartment Homes","Kingsland","GA","31548","Multifamily","Garden","2000",144,"0.938","1367.96","1401989.32","1432185.44","26800000","30.80352","-81.63376","1306","74664",4483873,4008013,"Georgia","0.05343975522388059701","16","1435.4418921562500000","-0.04701123223795707292","0.21985856637737062038","0.3968253968253968","0.89387299774101541235"
"Monarch Villas","Atlanta","GA","30342","Multifamily","Garden","1970",130,"0.977","1312","1344313.62","1315565.9","25000000","33.90911","-84.38836","1306","74664",4483873,4008013,"Georgia","0.05262263600000000000","17","1435.4418921562500000","-0.08599574307450486832","0.21086467373834779814","0.31746031746031744","0.89387299774101541235"
"Cortland At The Village I","Smyrna","GA","30080","Multifamily","Garden","1983",301,"0.917","1879","3874595.24","4174745.22","80300000","33.89522","-84.48865","1306","74664",4483873,4008013,"Georgia","0.05198935516811955168","18","1435.4418921562500000","0.30900457222790042106","0.30199292831886853102","0.9206349206349206","0.89387299774101541235"
"Lealand Place","Lawrenceville","GA","30044","Multifamily","Garden","1998",192,"0.99","1336.16","1922801.5","2029182.11","39100000","33.93526","-84.09221","1306","74664",4483873,4008013,"Georgia","0.05189724066496163683","19","1435.4418921562500000","-0.06916468907502318968","0.21474766955962712954","0.3333333333333333","0.89387299774101541235"
"The Aurora At Twenty Seven Hundred","Lilburn","GA","30047","Multifamily","Garden","1985",280,"0.961","1360","2902794.05","2771243","53800000","33.89822","-84.16174","1306","74664",4483873,4008013,"Georgia","0.05151009293680297398","20","1435.4418921562500000","-0.05255656294308431472","0.21857923497267759563","0.38095238095238093","0.89387299774101541235"
"Cortland Duluth I","Duluth","GA","30096","Multifamily","Garden","2002",535,"0.961","1721","6591403.75","6954083.53","135400000","33.95479","-84.08231","1306","74664",4483873,4008013,"Georgia","0.05135955339734121123","21","1435.4418921562500000","0.19893393762864109880","0.27659916425586628094","0.873015873015873","0.89387299774101541235"
"Oakview Place Apartments","Hephzibah","GA","30815","Multifamily","Garden","1985",124,"0.944","816.23","719079.99","743785.96","14500000","33.38942","-82.06546","1306","74664",4483873,4008013,"Georgia","0.05129558344827586207","22","1435.4418921562500000","-0.43137370836105419868","0.13118450658952105432","0.047619047619047616","0.89387299774101541235"
"Houston Lake","Kathleen","GA","31047","Multifamily","Garden","2007",300,"0.943","1419.3","2920692.21","2901073.42","56900000","32.50289","-83.66263","1306","74664",4483873,4008013,"Georgia","0.05098547311072056239","23","1435.4418921562500000","-0.01124524248905850580","0.22810993249758919961","0.4444444444444444","0.89387299774101541235"
"Pinnacle Place Apartments","Hephzibah","GA","30815","Multifamily","Garden","1986",120,"0.967","813.88","699278.98","696718.84","13800000","33.38358","-82.09694","1306","74664",4483873,4008013,"Georgia","0.05048687246376811594","24","1435.4418921562500000","-0.43301083488832166328","0.13080681452909032465","0.031746031746031744","0.89387299774101541235"
"Cortland At The Village IV","Smyrna","GA","30080","Multifamily","Garden","1987",702,"0.934","1602","7929109.14","7765386.6","157900000","33.89522","-84.48865","1306","74664",4483873,4008013,"Georgia","0.04917914249525015833","25","1435.4418921562500000","0.11603263688616097633","0.25747348119575699132","0.8095238095238095","0.89387299774101541235"
"Olympus Carrington","Pooler","GA","31322","Multifamily","Garden","2007",288,"0.969","1471.19","3289300.39","3075271","63200000","32.08284","-81.2876","1306","74664",4483873,4008013,"Georgia","0.04865935126582278481","26","1435.4418921562500000","0.02490390453217925516","0.23644969463195114111","0.5396825396825397","0.89387299774101541235"
"Cortland Duluth II","Duluth","GA","30096","Multifamily","Garden","1999",308,"0.951","1593","3411048.37","3434915.95","70700000","33.9514","-84.09193","1306","74664",4483873,4008013,"Georgia","0.04858438401697312588","27","1435.4418921562500000","0.10976279061151962254","0.25602700096432015429","0.7936507936507936","0.89387299774101541235"
"Sioux Acres MHC","Lawrenceville","GA","30043","Multifamily","Manufactured Housing Community","1969",92,"1","760","614464.14","540246","11200000","33.96657","-84.05381","1306","74664",4483873,4008013,"Georgia","0.04823625000000000000","28","1435.4418921562500000","-0.47054631458584123470","0.12214721954355512697","0","0.89387299774101541235"
"Heritage Greene Apartments","Atlanta","GA","30315","Multifamily","Garden","1971",109,"0.991","781.44","484610.88","382643.68","8050000","33.67591","-84.41603","1306","74664",4483873,4008013,"Georgia","0.04753337639751552795","29","1435.4418921562500000","-0.45561014746047338742","0.12559305689488910318","0.015873015873015872","0.89387299774101541235"
"Rivermoor West","Savannah","GA","31407","Multifamily","Garden","2018",98,"0.959","2000.55","1393040.02","1381243","29100000",NULL,NULL,"1306","74664",4483873,4008013,"Georgia","0.04746539518900343643","30","1435.4418921562500000","0.39368232941486226043","0.32152844744455159113","0.9365079365079365","0.89387299774101541235"
"Princeton Place Apartments","Marietta","GA","30060","Multifamily","Garden","1987",130,"0.908","1540","1318522.13","1218151","26100000","33.97147","-84.54775","1306","74664",4483873,4008013,"Georgia","0.04667245210727969349","31","1435.4418921562500000","0.07284036254974276127","0.24750883960141433623","0.6825396825396826","0.89387299774101541235"
"Capella Apartment Homes","Tucker","GA","30084","Multifamily","Garden","1985",320,"0.963","1369.81","2985170.3","2775660.29","59600000","33.89327","-84.20974","1306","74664",4483873,4008013,"Georgia","0.04657148137583892617","32","1435.4418921562500000","-0.04572243050372523908","0.22015589842494374799","0.4126984126984127","0.89387299774101541235"
"Sloan Square","Atlanta","GA","30329","Multifamily","Garden","1990",197,"0.883","1465","1909599.38","1977747.56","42700000","33.81423","-84.3374","1306","74664",4483873,4008013,"Georgia","0.04631727306791569087","33","1435.4418921562500000","0.02059164359439814627","0.23545483767277402764","0.5079365079365079","0.89387299774101541235"
"Emory Point","Atlanta","GA","30329","Multifamily","Student","2013",750,"0.825","2312.44","13019069","13402954","289700000","33.80193","-84.32857","1306","74664",4483873,4008013,"Georgia","0.04626494304452882292","34","1435.4418921562500000","0.61096036881462802005","0.37165541626486660238","0.9682539682539683","0.89387299774101541235"
"Hawthorne At Kennesaw","Kennesaw","GA","30144","Multifamily","Garden","2005",322,"0.953","1796","4786417.08","4455329.76","96500000","34.05132","-84.58531","1306","74664",4483873,4008013,"Georgia","0.04616922031088082902","35","1435.4418921562500000","0.25118265658398571379","0.28865316618450658952","0.9047619047619048","0.89387299774101541235"
"Cortland At The Village III","Smyrna","GA","30080","Multifamily","Garden","1985",494,"0.86","1555","4385482.59","4693018.9","101700000","33.89522","-84.48865","1306","74664",4483873,4008013,"Georgia","0.04614571189773844641","36","1435.4418921562500000","0.08329010634081168427","0.24991963998714239794","0.7301587301587301","0.89387299774101541235"
"Avalon Park Senior","Atlanta","GA","30318","Multifamily","Age Restricted","2008",136,"0.971","922.62","685953.62","667653.61","14500000","33.77783","-84.47741","1306","74664",4483873,4008013,"Georgia","0.04604507655172413793","37","1435.4418921562500000","-0.35725715889893268415","0.14828351012536162006","0.09523809523809523","0.89387299774101541235"
"Reserve At Stockbridge","Stockbridge","GA","30281","Multifamily","Garden","1987",88,"0.932","1272","675577.14","671191.44","14600000","33.54136","-84.22574","1306","74664",4483873,4008013,"Georgia","0.04597201643835616438","38","1435.4418921562500000","-0.11386172651735532965","0.20443587270973963356","0.2698412698412698","0.89387299774101541235"
"Crossings At McDonough","McDonough","GA","30253","Multifamily","Garden","2005",252,"0.904761905","1585","2810880.78","2614597","58200000","33.42238","-84.15579","1306","74664",4483873,4008013,"Georgia","0.04492434707903780069","39","1435.4418921562500000","0.10418959392294953027","0.25474124075859852138","0.7619047619047619","0.89387299774101541235"
